3.78,84.61,-0.44,0.99,1.17,368298,"
"
3.78,86.02,-0.43,0.99,1.17,368373,"
"
3.76,86.6,-0.44,0.98,1.16,368447,"
"
3.77,86.54,-0.43,0.98,1.14,368522,"
"
3.79,86.31,-0.42,0.97,1.12,368596,"
"
3.82,86.68,-0.42,0.96,1.09,368671,"
"
3.83,85.3,-0.4,0.96,1.09,368745,"
"
3.86,85.42,-0.4,0.95,1.07,368820,"
"
3.86,86.45,-0.39,0.96,1.08,368895,"
"
3.87,87.12,-0.39,0.96,1.07,368970,"
"
3.87,87.67,-0.41,0.97,1.11,369045,"
"
3.82,87.72,-0.43,1,1.18,369120,"
"
3.8,86.94,-0.43,1,1.18,369194,"
"
3.79,86.6,-0.43,1,1.18,369269,"
"
3.77,86.98,-0.43,1.01,1.2,369344,"
"
3.76,87.57,-0.42,1,1.18,369419,"
"
3.74,88.39,-0.4,1.03,1.21,369494,"
"
3.72,88.65,-0.39,1.02,1.2,369569,"
"
3.72,87.99,-0.4,1.03,1.23,369644,"
"
3.7,86.83,-0.42,1.02,1.22,369719,"
"
3.7,85.69,-0.43,1.01,1.2,369793,"
"
3.74,85.57,-0.43,1,1.18,369868,"
"
3.67,85.55,-0.43,1.01,1.2,369943,"
"
3.71,85.81,-0.42,1,1.18,370018,"
"
3.7,85.61,-0.42,1,1.17,370094,"
"
3.7,84.74,-0.43,0.98,1.15,370169,"
"
3.75,83.9,-0.41,0.99,1.14,370244,"
"
3.79,83.15,-0.4,0.99,1.14,370319,"
"
3.8,83.67,-0.42,1.01,1.19,370393,"
"
3.76,84.42,-0.42,1.04,1.25,370468,"
"
3.74,83.24,-0.41,1.02,1.22,370543,"
"
3.75,84.29,-0.39,1.03,1.21,370618,"
"
3.75,85.58,-0.4,1.02,1.21,370692,"
"
3.75,86.12,-0.39,1.02,1.2,370767,"
"
3.79,87.8,-0.37,1.01,1.16,370842,"
"
3.81,87.7,-0.37,1,1.13,370917,"
"
3.79,89.59,-0.36,1,1.12,370992,"
"
3.79,89.49,-0.37,1.01,1.15,371067,"
"
3.78,89.81,-0.38,1.01,1.17,371143,"
"
3.76,90.31,-0.36,1.03,1.2,371218,"
"
3.75,91.24,-0.35,1.05,1.22,371293,"
"
3.74,91.41,-0.36,1.04,1.22,371369,"
"
3.69,92.03,-0.35,1.04,1.2,371444,"
"
3.71,91.78,-0.35,1.04,1.21,371519,"
"
3.73,91.22,-0.35,1.06,1.23,371594,"
"
3.75,89.87,-0.35,1.05,1.22,371669,"
"
3.77,88.29,-0.35,1.03,1.19,371744,"
"
3.76,87.28,-0.36,1.01,1.16,371820,"
"
3.76,85.96,-0.36,1.01,1.15,371895,"
"
3.84,83.66,-0.38,0.99,1.12,371970,"
"
3.83,81.34,-0.38,0.97,1.09,372045,"
"
3.86,79.26,-0.41,0.94,1.05,372120,"
"
3.83,75.24,-0.45,0.91,1.02,372195,"
"
3.35,74.29,-0.48,0.88,1.01,372271,"
"
3.02,74.21,-0.44,0.9,1,372346,"
"
2.53,75.45,-0.46,0.88,0.99,372422,"
"
2.05,75.87,-0.52,0.86,1.01,372497,"
"
1.95,76.33,-0.5,0.87,1,372573,"
"
1.9,69.67,-0.49,0.87,1,372649,"
"
1.91,65.37,-0.5,0.87,1,372725,"
"
1.93,65.8,-0.54,0.85,1.01,372800,"
"
1.95,74.38,-0.58,0.8,0.99,372876,"
"
1.94,68.98,-0.56,0.83,1.01,372951,"
"
2.01,74.8,-0.61,0.79,0.99,373027,"
"
1.94,78.85,-0.67,0.74,0.99,373102,"
"
1.91,75.36,-0.67,0.74,1,373178,"
"
1.93,72.14,-0.66,0.75,1,373254,"
"
1.94,73.55,-0.68,0.72,0.98,373330,"
"
1.87,75.48,-0.71,0.7,0.99,373406,"
"
1.85,83.75,-0.73,0.67,0.98,373481,"
"
1.9,57.78,-0.57,0.81,0.99,373921,"
"
1.86,58.89,-0.58,0.83,1.01,373996,"
"
1.84,85.71,-0.51,0.87,1.01,374145,"
"
1.89,91.98,-0.43,0.89,0.98,374220,"
"
1.9,95.17,-0.69,0.72,0.98,374512,"
"
1.98,90.22,-0.6,0.78,0.97,374587,"
"
2.01,82.51,-0.58,0.8,0.97,374879,"
"
1.96,75.32,-0.63,0.76,0.98,374954,"
"
1.9,81.29,-0.6,0.79,0.99,375030,"
"
1.85,83.19,-0.57,0.83,1.01,375105,"
"
1.89,80.07,-0.59,0.81,1,375180,"
"
1.88,84.47,-0.62,0.77,0.98,375255,"
"
1.87,83.68,-0.64,0.75,0.97,375330,"
"
1.79,77.65,-0.63,0.78,1,375405,"
"
1.83,85.75,-0.63,0.76,0.97,375479,"
"
1.88,85.99,-0.68,0.71,0.98,375698,"
"
1.86,86.44,-0.68,0.71,0.97,375846,"
"
1.84,84.98,-0.73,0.67,0.99,375921,"
"
1.78,86.52,-0.74,0.66,0.99,375997,"
"
1.82,94,-0.68,0.73,1,376361,"
"
1.84,83.65,-0.59,0.81,1,376437,"
"
1.8,99.45,-0.59,0.8,0.99,376804,"
"
2.14,100.07,-0.62,0.77,0.98,376880,"
"
2.35,94.15,-0.64,0.75,0.97,376955,"
"
2.53,82.25,-0.63,0.77,0.99,377030,"
"
2.92,79.99,-0.61,0.8,1.01,377105,"
"
3.62,79.52,-0.6,0.8,1.01,377180,"
"
3.83,80.97,-0.59,0.82,1.02,377255,"
"
3.87,82.78,-0.58,0.82,1.01,377330,"
"
3.9,83.11,-0.58,0.82,1.02,377405,"
"
3.87,83.46,-0.57,0.83,1.02,377480,"
"
3.88,82.7,-0.58,0.83,1.02,377555,"
"
3.89,82.46,-0.57,0.84,1.03,377630,"
"
3.83,83.11,-0.56,0.85,1.04,377705,"
"
3.79,84,-0.56,0.86,1.06,377779,"
"
3.83,83.33,-0.56,0.87,1.07,377854,"
"
3.83,82.44,-0.55,0.88,1.07,377929,"
"
3.8,84.21,-0.51,0.92,1.11,378004,"
"
3.73,85.97,-0.5,0.95,1.15,378079,"
"
3.81,85.24,-0.51,0.93,1.12,378154,"
"
3.86,86,-0.52,0.93,1.13,378229,"
"
3.86,86.38,-0.54,0.91,1.12,378304,"
"
3.85,87.12,-0.52,0.93,1.14,378379,"
"
3.84,86.41,-0.54,0.91,1.12,378454,"
"
3.83,86.98,-0.53,0.92,1.13,378529,"
"
3.82,87.98,-0.51,0.94,1.14,378604,"
"
3.85,87.77,-0.51,0.93,1.13,378679,"
"
3.85,87.53,-0.51,0.93,1.13,378754,"
"
3.81,87.39,-0.5,0.93,1.12,378829,"
"
3.85,88.02,-0.49,0.96,1.16,378955,"
"
3.83,87.3,-0.49,0.95,1.14,379030,"
"
3.82,86.31,-0.51,0.95,1.18,379105,"
"
3.86,87.26,-0.51,0.97,1.21,379180,"
"
3.85,87,-0.54,0.94,1.17,379255,"
"
3.86,86.79,-0.54,0.91,1.12,379330,"
"
3.88,86.22,-0.56,0.89,1.1,379405,"
"
3.87,86.34,-0.57,0.87,1.08,379480,"
"
3.88,86.82,-0.58,0.86,1.07,379555,"
"
3.89,86.57,-0.58,0.87,1.09,379630,"
"
3.83,86.93,-0.58,0.87,1.09,379705,"
"
3.79,88.13,-0.57,0.86,1.07,379780,"
"
3.81,86.78,-0.55,0.88,1.07,379855,"
"
3.82,87.48,-0.53,0.9,1.09,379930,"
"
3.82,86.51,-0.53,0.9,1.09,380004,"
"
3.85,87.48,-0.52,0.92,1.11,380079,"
"
3.81,87.37,-0.53,0.9,1.09,380154,"
"
3.75,86.45,-0.53,0.9,1.09,380228,"
"
3.69,87.38,-0.52,0.92,1.12,380302,"
"
3.77,86.89,-0.53,0.92,1.13,380377,"
"
3.7,86.49,-0.54,0.88,1.07,380451,"
"
3.67,87.19,-0.55,0.88,1.06,380526,"
"
3.73,86.7,-0.55,0.87,1.06,380601,"
"
3.66,87.31,-0.56,0.85,1.03,380675,"
"
3.61,88.46,-0.56,0.84,1.03,380750,"
"
3.66,88.85,-0.56,0.86,1.05,380825,"
"
3.65,89.98,-0.55,0.89,1.09,380899,"
"
3.66,90.33,-0.53,0.91,1.11,380974,"
"
3.68,90.33,-0.52,0.92,1.12,381049,"
"
3.65,89.75,-0.54,0.92,1.13,381124,"
"
3.65,90.53,-0.56,0.9,1.12,381199,"
"
3.71,90.09,-0.55,0.9,1.12,381273,"
"
3.8,88.62,-0.53,0.92,1.12,381348,"
"
3.76,89.1,-0.53,0.93,1.14,381423,"
"
3.74,88.79,-0.52,0.94,1.15,381497,"
"
3.7,88.33,-0.51,0.94,1.15,381572,"
"
3.68,87.84,-0.51,0.93,1.12,381647,"
"
3.69,87.77,-0.51,0.93,1.11,381721,"
"
3.67,87.61,-0.51,0.93,1.12,381796,"
"
3.67,87.66,-0.51,0.9,1.08,381870,"
"
3.67,86.56,-0.52,0.86,1.01,381945,"
"
3.73,84.12,-0.54,0.82,0.97,382020,"
"
3.84,80.72,-0.61,0.79,0.99,382095,"
"
3.9,78.65,-0.61,0.79,1,382170,"
"
3.57,77.23,-0.61,0.81,1.03,382246,"
"
3.05,79.65,-0.64,0.79,1.03,382321,"
"
2.77,80.21,-0.64,0.78,1.02,382396,"
"
2.57,80.52,-0.65,0.77,1.01,382472,"
"
2.48,77.48,-0.64,0.77,1,382547,"
"
2.12,78.7,-0.65,0.76,1,382623,"
"
2.08,76.09,-0.69,0.72,0.98,382699,"
"
1.96,77.57,-0.69,0.72,0.99,382775,"
"
1.86,75.63,-0.72,0.69,0.99,382851,"
"
1.97,75.85,-0.72,0.68,0.98,382927,"
"
