8191,8191,8191,8191,8191,8191,8191,-15.16,17.84,"
"
8191,8191,8191,8191,8191,8191,8191,-15.23,18.37,"
"
8191,8191,8191,8191,8191,8191,8191,-15.08,18.72,"
"
8191,8191,8191,8191,8191,8191,8191,-14.93,18.37,"
"
55,55,55,55,55,55,55,-11.58,18.46,"
"
55,55,55,55,55,55,55,-3.10,18.11,"
"
55,55,55,55,55,55,55,-2.83,18.11,"
"
52,52,52,52,52,52,52,-2.26,18.28,"
"
52,52,52,52,52,52,52,-1.72,18.28,"
"
52,52,52,52,52,52,52,-1.77,18.46,"
"
55,55,55,55,55,55,55,-1.89,18.46,"
"
55,55,55,55,55,55,55,-1.70,18.54,"
"
60,60,60,60,60,60,60,-1.55,18.81,"
"
60,60,60,60,60,60,60,-1.32,18.90,"
"
60,60,60,60,60,60,60,-1.73,19.07,"
"
54,54,54,54,54,54,54,-1.47,19.34,"
"
54,54,54,54,54,54,54,-1.02,19.42,"
"
54,54,54,54,54,54,54,-1.45,19.60,"
"
55,55,55,55,55,55,55,-1.59,20.13,"
"
55,55,55,55,55,55,55,-1.50,20.13,"
"
55,55,55,55,55,55,55,-1.61,20.04,"
"
58,58,58,58,58,58,58,-2.22,20.21,"
"
58,58,58,58,58,58,58,-1.98,19.86,"
"
55,55,55,55,55,55,55,-1.66,19.86,"
"
55,55,55,55,55,55,55,-1.55,19.86,"
"
55,55,55,55,55,55,55,-1.43,19.86,"
"
51,51,51,51,51,51,51,-1.42,19.86,"
"
51,51,51,51,51,51,51,-1.34,19.86,"
"
51,51,51,51,51,51,51,-1.34,19.86,"
"
49,49,49,49,49,49,49,-1.36,19.86,"
"
49,49,49,49,49,49,49,-1.35,19.86,"
"
54,54,54,54,54,54,54,-1.30,19.86,"
"
54,54,54,54,54,54,54,-1.35,19.86,"
"
54,54,54,54,54,54,54,-1.37,19.86,"
"
54,54,54,54,54,54,54,-1.35,19.86,"
"
54,54,54,54,54,54,54,-1.37,19.86,"
"
54,54,54,54,54,54,54,-1.41,19.86,"
"
54,54,54,54,54,54,54,-1.39,19.86,"
"
54,54,54,54,54,54,54,-1.34,19.86,"
"
57,57,57,57,57,57,57,-1.35,19.86,"
"
57,57,57,57,57,57,57,-1.33,19.86,"
"
57,57,57,57,57,57,57,-1.31,19.86,"
"
