41,42,56,36,47,38,51,6.93,-0.26,0,0,"1.60
"
41,42,56,36,47,38,51,6.97,-0.26,0,0,"1.60
"
41,42,56,36,47,40,51,7.18,-0.26,0,0,"1.60
"
41,42,56,36,47,40,53,7.30,-0.26,0,0,"1.60
"
41,42,56,36,45,40,53,7.26,-0.26,0,0,"1.60
"
43,46,50,35,45,40,52,7.20,-0.26,0,0,"1.60
"
43,46,50,35,48,40,52,7.09,-0.26,0,0,"1.60
"
41,46,56,35,48,37,52,7.07,-0.26,0,0,"1.60
"
41,50,56,36,48,37,51,7.05,-0.26,0,0,"1.60
"
41,50,56,36,47,36,51,7.14,-0.26,0,0,"1.60
"
42,47,48,33,47,36,51,7.27,-0.26,0,0,"1.60
"
42,47,48,33,46,36,51,7.26,-0.26,0,0,"1.60
"
42,47,52,33,46,39,51,7.17,-0.26,0,0,"1.60
"
42,49,52,37,46,39,55,7.12,-0.26,0,0,"1.60
"
42,49,52,37,50,35,55,7.11,-0.26,0,0,"1.60
"
44,47,50,37,50,35,55,7.08,-0.26,0,0,"1.60
"
44,47,50,37,47,35,52,7.10,-0.26,0,0,"1.60
"
38,47,56,37,47,36,52,7.20,-0.26,0,0,"1.60
"
38,45,56,35,47,36,55,7.24,-0.26,0,0,"1.60
"
38,45,56,35,46,37,55,7.27,-0.26,0,0,"1.60
"
44,45,48,35,46,37,55,7.24,-0.26,0,0,"1.60
"
44,45,48,35,49,37,51,7.19,-0.26,0,0,"1.60
"
41,45,52,35,49,41,51,7.13,-0.26,0,0,"1.60
"
41,45,52,35,49,41,52,7.11,-0.26,0,0,"1.60
"
41,45,52,35,49,37,52,7.09,-0.26,0,0,"1.60
"
42,45,51,35,49,37,52,7.12,-0.26,0,0,"1.60
"
42,45,51,36,47,37,57,7.19,-0.26,0,0,"1.60
"
41,45,52,36,47,37,57,7.26,-0.26,0,0,"1.60
"
41,46,52,33,47,37,54,7.18,-0.26,0,0,"1.60
"
41,46,52,33,47,38,54,7.26,-0.26,0,0,"1.60
"
43,46,53,33,47,38,54,7.11,-0.26,0,0,"1.60
"
43,47,53,37,47,38,52,7.14,-0.26,0,0,"1.60
"
40,47,46,37,49,42,52,7.26,-0.26,0,0,"1.60
"
40,42,46,38,49,42,52,7.31,-0.26,0,0,"1.60
"
40,42,46,38,49,38,52,7.23,-0.26,0,0,"1.60
"
41,42,46,38,49,38,52,7.19,-0.26,0,0,"1.60
"
41,45,46,39,49,38,52,7.15,-0.26,0,0,"1.60
"
41,45,46,39,48,41,52,7.13,-0.26,0,0,"1.60
"
41,47,52,38,48,41,54,7.16,-0.26,0,0,"1.60
"
41,47,52,38,48,41,54,7.18,-0.26,0,0,"1.60
"
43,47,52,38,48,34,54,7.22,-0.26,0,0,"1.60
"
43,47,52,36,48,34,54,7.23,-0.26,0,0,"1.60
"
